[17:32:46	]Esteban Torres used command '/ToggleRaise'.
[17:32:47	]Esteban Torres used command '/ToggleRaise'.
[17:32:55	]Esteban Torres entered observer.
[17:33:01	]Esteban Torres exited observer at their location.
[17:33:05	]Esteban Torres has fired a toolgun with the name: camera
[17:33:09	]Esteban Torres used command '/ToggleRaise'.
[17:33:28	]M!NT (STEAM_0:1:120751263) has disconnected.
[17:33:38	]Esteban Torres has spawned a cmb_pslmg.
[17:33:40	]Esteban Torres ran 'drop' on item 'MP7A1' (#2686746)
[17:33:40	]Esteban Torres has lost a 'MP7A1' #2686746.
[17:33:41	]Esteban Torres ran 'drop' on item 'Sledge Hammer' (#2467364)
[17:33:41	]Esteban Torres has lost a 'Sledge Hammer' #2467364.
[17:33:42	]Esteban Torres ran 'drop' on item 'Large Bag' (#2128381)
[17:33:42	]Esteban Torres has lost a 'Large Bag' #2128381.
[17:33:42	]Esteban Torres has lost a 'Morphine' #2461352.
[17:33:42	]Esteban Torres has lost a 'First Aid Kit' #2500100.
[17:33:42	]Esteban Torres has lost a 'Water Bottle' #2497338.
[17:33:42	]Esteban Torres has lost a 'Blood Bag' #2461348.
[17:33:42	]Esteban Torres has lost a 'Whiskey' #2564856.
[17:33:42	]Esteban Torres has lost a 'Repair Plating' #2461343.
[17:33:42	]Esteban Torres has lost a 'Health Syringe' #2461344.
[17:33:42	]Esteban Torres has lost a 'Handheld Radio' #2461323.
[17:33:42	]Esteban Torres has lost a 'Flashlight' #2461354.
[17:33:42	]Esteban Torres has lost a 'Water Bottle' #2461386.
[17:33:42	]Esteban Torres has lost a 'Disinfected Bandage Roll' #2461359.
[17:33:42	]Esteban Torres has lost a '#28279's Identity Card' #2461325.
[17:33:44	]Esteban Torres ran 'take' on item 'Suppressor Light Machinegun' (#2686747)
[17:33:44	]Esteban Torres has gained a 'Suppressor Light Machinegun' #2686747.
[17:33:47	]Esteban Torres ran 'Equip' on item 'Suppressor Light Machinegun' (#2686747)
[17:33:47	]Esteban Torres used command '/ToggleRaise'.
[17:34:50	]Esteban Torres destroyed a 'Large Bag' #2128381.
[17:35:12	]Esteban Torres used command '/ToggleRaise'.
[17:35:21	]Esteban Torres has given himself a perk_suppressorrage.
[17:35:21	]Esteban Torres has gained a 'Suppressor's Spirit' #2686748.
[17:35:22	]Esteban Torres has lost a 'Suppressor's Spirit' #2686748.
[17:35:37	]Esteban Torres used command '/ToggleRaise'.
[17:35:40	]Esteban Torres destroyed a 'MP7A1' #2686746.
[17:35:43	]Esteban Torres used command '/ToggleRaise'.
[17:35:50	]Esteban Torres has gained a 'Suppressor's Spirit' #2686748.
[17:35:54	]Esteban Torres has lost a 'Suppressor's Spirit' #2686748.
[17:36:06	]Esteban Torres has gained a 'Suppressor's Spirit' #2686748.
[17:36:08	]Esteban Torres has lost a 'Suppressor's Spirit' #2686748.
[17:36:41	]Esteban Torres used command '/ToggleRaise'.
[17:36:52	]Esteban Torres used command '/ToggleRaise'.
[17:36:54	]Esteban Torres used command '/ToggleRaise'.
[17:37:16	]Esteban Torres entered observer.
[17:37:33	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:40	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:40	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:40	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:40	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:40	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:44	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:44	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:45	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:45	]Esteban Torres destroyed a 'Sledge Hammer' #2467364.
[17:37:49	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:51	]Esteban Torres has fired a toolgun with the name: dynamite
[17:37:51	]Esteban Torres has taken 7 damage from Esteban Torres.
[17:37:51	]Esteban Torres destroyed a 'N-Vision HALO-LR Thermal Scope (1-6x)' #2686737.
[17:37:54	]Esteban Torres used command '/ToggleRaise'.
[17:37:55	]Esteban Torres exited observer at their location.
[17:38:20	]Esteban Torres has given himself a uc_optic_nvis.
[17:38:20	]Esteban Torres has gained a 'N-Vision HALO-LR Thermal Scope (1-6x)' #2686749.
[17:38:24	]Esteban Torres entered observer.
[17:38:37	]Esteban Torres used command '/ToggleRaise'.
[17:38:45	]Esteban Torres has given himself a optic_gauss_scope.
[17:38:45	]Esteban Torres has gained a 'M2014-S (FLIR)' #2686750.
[17:38:56	]Esteban Torres has given himself a attn_acog.
[17:38:56	]Esteban Torres has gained a 'ACOG' #2686751.
[17:39:04	]Esteban Torres has given himself a uc_optic_eotech553.
[17:39:04	]Esteban Torres has gained a 'EOTech 553 (HOLO)' #2686752.
[17:39:19	]Esteban Torres exited observer at their location.
[17:39:21	]Esteban Torres used the 'John Doe' vendor.
[17:39:29	]Esteban Torres opened the 'Large Metal Cabinet' #120725 container.
[17:39:32	]Esteban Torres closed the 'Large Metal Cabinet' #120725 container.
[17:39:35	]Esteban Torres entered observer.
[17:39:41	]Esteban Torres used command '/ToggleRaise'.
[17:39:43	]Esteban Torres used command '/ToggleRaise'.
[17:39:50	]Esteban Torres exited observer at their location.
[17:39:51	]Esteban Torres has spawned a 'NPC [4416][npc_crow]'.
[17:39:53	]Esteban Torres has spawned a 'NPC [6390][npc_monk]'.
[17:39:58	]Esteban Torres has spawned a 'NPC [4416][npc_monk]'.
[17:39:58	]Esteban Torres has spawned a 'NPC [6477][npc_monk]'.
[17:39:58	]Esteban Torres has spawned a 'NPC [6480][npc_monk]'.
[17:39:58	]Esteban Torres has spawned a 'NPC [6482][npc_monk]'.
[17:39:58	]Esteban Torres has spawned a 'NPC [6484][npc_monk]'.
[17:39:59	]Esteban Torres has spawned a 'NPC [6390][npc_monk]'.
[17:40:14	]Esteban Torres has fired a toolgun with the name: creator
[17:40:14	]Esteban Torres has spawned a 'Weapon [6489][arccw_ur_deagle]'.
[17:40:14	]Esteban Torres has fired a toolgun with the name: creator
[17:40:14	]Esteban Torres has spawned a 'Weapon [6490][arccw_ur_deagle]'.
[17:40:14	]Esteban Torres has fired a toolgun with the name: creator
[17:40:14	]Esteban Torres has spawned a 'Weapon [6491][arccw_ur_deagle]'.
[17:40:15	]Esteban Torres has fired a toolgun with the name: creator
[17:40:15	]Esteban Torres has spawned a 'Weapon [6492][arccw_ur_deagle]'.
[17:40:18	]Esteban Torres used command '/ToggleRaise'.
[17:40:45	]Esteban Torres entered observer.
[17:40:46	]Esteban Torres exited observer at their location.
[17:40:47	]Esteban Torres entered observer.
[17:40:47	]Esteban Torres exited observer at their location.
[17:40:57	]Esteban Torres used command '/ToggleRaise'.
[17:40:59	]Esteban Torres has hit npc_monk in the chest dealing 5 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has hit npc_monk in the left arm dealing 1 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
[17:40:59	]Esteban Torres has critically hit npc_monk in the chest dealing 8 damage (CritChance was 0.84).
