[06:21:19	]Crash test dummy ran 'drop' on item 'OSPR2A-EXP' (#1660774)
[06:21:19	]Crash test dummy has lost a 'OSPR2A-EXP' #1660774.
[06:21:21	]Crash test dummy destroyed a 'OSPR2A-EXP' #1660774.
[06:21:22	]Crash test dummy destroyed a 'SSG-08' #1660770.
[06:21:23	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660559.
[06:21:23	]Crash test dummy destroyed a 'Pulse Rifle Bullets' #1660564.
[06:21:23	]Crash test dummy destroyed a 'Pulse Rifle Bullets' #1660575.
[06:21:25	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660543.
[06:21:25	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660536.
[06:21:25	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660544.
[06:21:26	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660537.
[06:21:26	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660546.
[06:21:27	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660542.
[06:21:27	]Crash test dummy destroyed a 'Pulse Rifle Bullets' #1660565.
[06:21:28	]Crash test dummy destroyed a 'Pulse Rifle Bullets' #1660563.
[06:21:29	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660545.
[06:21:30	]Crash test dummy destroyed a '357 Rounds' #1660151.
[06:21:30	]Crash test dummy destroyed a '6rnd Popper-magazine' #1660148.
[06:21:33	]Crash test dummy destroyed a 'SR-1A' #1660535.
[06:21:34	]Crash test dummy destroyed a 'AKM' #1660763.
[06:21:35	]Crash test dummy destroyed a '30rnd AK-magazine' #1660767.
[06:21:35	]Crash test dummy destroyed a '30rnd AK-magazine' #1660769.
[06:21:36	]Crash test dummy destroyed a 'AR-2' #1660771.
[06:21:37	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660539.
[06:21:37	]Crash test dummy destroyed a 'Overwatch Assault Shotgun' #1660772.
[06:21:37	]Crash test dummy destroyed a 'Pulse Rifle Bullets' #1660759.
[06:21:39	]Crash test dummy destroyed a 'Pulse Rifle Bullets' #1660761.
[06:21:39	]Crash test dummy destroyed a '30rnd Pulse-magazine' #1660540.
[06:21:39	]Crash test dummy destroyed a 'Pulse Rifle Bullets' #1660576.
[06:21:42	]Crash test dummy used command '/ToggleRaise'.
[06:22:48	][IC] Crash test dummy: <:: Five, four, three, two, one, flash flash flash! ::>
[06:22:51	]Crash test dummy used the 'Munition Lady' vendor.
[06:23:00	]Crash test dummy has gained 0 chips.
[06:23:00	]Crash test dummy has gained a 'MP7A1' #1660782.
[06:23:05	]Crash test dummy ran 'EquipUn' on item 'OSITR' (#1660773)
[06:23:05	]Crash test dummy has gained a '60rnd OTAR-magazine' #1660779.
[06:23:06	]Crash test dummy ran 'Equip' on item 'MP7A1' (#1660782)
[06:23:08	]Crash test dummy used the 'Munition Lady' vendor.
[06:23:32	]Crash test dummy has gained 0 chips.
[06:23:32	]Crash test dummy has gained a '30rnd MP-magazine' #1660783.
[06:23:32	]Crash test dummy has gained 0 chips.
[06:23:32	]Crash test dummy has gained a '30rnd MP-magazine' #1660784.
[06:23:33	]Crash test dummy has gained 0 chips.
[06:23:33	]Crash test dummy has gained a '30rnd MP-magazine' #1660785.
[06:23:37	]Crash test dummy has gained 0 chips.
[06:23:37	]Crash test dummy has gained a 'Sub-machinegun Bullets' #1660786.
[06:23:37	]Crash test dummy has gained 0 chips.
[06:23:38	]Crash test dummy has gained a 'Sub-machinegun Bullets' #1660787.
[06:23:38	]Crash test dummy has gained 0 chips.
[06:23:38	]Crash test dummy has gained a 'Sub-machinegun Bullets' #1660788.
[06:23:39	]Crash test dummy has gained 0 chips.
[06:23:42	]Crash test dummy ran 'combine' on item '30rnd MP-magazine' (#1660785)
[06:23:43	]Crash test dummy ran 'combine' on item '30rnd MP-magazine' (#1660784)
[06:23:43	]Crash test dummy ran 'combine' on item '30rnd MP-magazine' (#1660783)
[06:23:44	]Crash test dummy has lost a '30rnd MP-magazine' #1660785.
[06:23:45	]Crash test dummy used command '/ToggleRaise'.
[06:23:55	]Crash test dummy has gained a '30rnd MP-magazine' #1660785.
[06:23:55	]Crash test dummy has lost a '30rnd MP-magazine' #1660784.
[06:24:01	]Crash test dummy has gained a '30rnd MP-magazine' #1660784.
[06:24:01	]Crash test dummy has lost a '30rnd MP-magazine' #1660783.
[06:25:24	]Crash test dummy ran 'take' on item 'Sub-machinegun Bullets' (#1660789)
[06:25:24	]Crash test dummy has gained a 'Sub-machinegun Bullets' #1660789.
[06:25:26	]Crash test dummy ran 'combine' on item '30rnd MP-magazine' (#1660784)
[06:25:26	]Crash test dummy has gained a '30rnd MP-magazine' #1660783.
[06:25:26	]Crash test dummy has lost a '30rnd MP-magazine' #1660784.
[06:25:28	]Crash test dummy ran 'drop' on item '60rnd OTAR-magazine' (#1660778)
[06:25:28	]Crash test dummy has lost a '60rnd OTAR-magazine' #1660778.
[06:25:28	]Crash test dummy ran 'drop' on item '60rnd OTAR-magazine' (#1660779)
[06:25:28	]Crash test dummy has lost a '60rnd OTAR-magazine' #1660779.
[06:25:28	]Crash test dummy ran 'drop' on item 'OSITR' (#1660773)
[06:25:28	]Crash test dummy has lost a 'OSITR' #1660773.
[06:25:30	]Crash test dummy destroyed a 'OSITR' #1660773.
[06:25:31	]Crash test dummy destroyed a '60rnd OTAR-magazine' #1660779.
[06:25:31	]Crash test dummy destroyed a '60rnd OTAR-magazine' #1660778.
[06:25:32	]Crash test dummy used the 'Munition Lady' vendor.
[06:25:48	]Crash test dummy has gained 0 chips.
[06:25:48	]Crash test dummy has gained a 'Sub-machinegun Bullets' #1660790.
[06:25:48	]Crash test dummy has gained 0 chips.
[06:25:48	]Crash test dummy has gained a 'Sub-machinegun Bullets' #1660791.
[06:25:49	]Crash test dummy has gained 0 chips.
[06:25:49	]Crash test dummy has gained a 'Sub-machinegun Bullets' #1660792.
[06:25:49	]Crash test dummy has gained 0 chips.
[06:25:49	]Crash test dummy has gained a 'Sub-machinegun Bullets' #1660793.
[06:25:54	]Crash test dummy has gained 0 chips.
[06:25:57	]Crash test dummy ran 'combine' on item '30rnd MP-magazine' (#1660783)
[06:25:57	]Crash test dummy ran 'combine' on item '30rnd MP-magazine' (#1660785)
[06:25:58	]Crash test dummy has gained a '30rnd MP-magazine' #1660784.
[06:25:58	]Crash test dummy has lost a '30rnd MP-magazine' #1660785.
[06:25:59	]Crash test dummy ran 'take' on item 'MP5A3' (#1660794)
[06:26:02	]Crash test dummy ran 'take' on item 'MP5A3' (#1660794)
[06:26:02	]Crash test dummy has gained a 'MP5A3' #1660794.
[06:26:04	]Crash test dummy ran 'EquipUn' on item 'MP7A1' (#1660782)
[06:26:04	]Crash test dummy has gained a '30rnd MP-magazine' #1660785.
[06:26:05	]Crash test dummy ran 'Equip' on item 'MP5A3' (#1660794)
[06:26:06	]Crash test dummy has lost a '30rnd MP-magazine' #1660785.
[06:26:07	]Crash test dummy used command '/ToggleRaise'.
[06:26:13	]Crash test dummy has gained a '30rnd MP-magazine' #1660785.
[06:26:13	]Crash test dummy has lost a '30rnd MP-magazine' #1660783.
[06:26:25	]Crash test dummy has gained a '30rnd MP-magazine' #1660783.
[06:26:25	]Crash test dummy has lost a '30rnd MP-magazine' #1660784.
[06:26:39	]Crash test dummy ran 'drop' on item 'MP7A1' (#1660782)
