[21:48:02	]Ronald Williams has critically hit Tuki in the right arm dealing 7 damage (CritChance was 0.20).
[21:48:02	]Tuki has taken 7 damage from Ronald Williams.
[21:48:02	]Ronald Williams has critically hit Tuki in the chest dealing 10 damage (CritChance was 0.20).
[21:48:02	]Tuki has taken 10 damage from Ronald Williams.
[21:48:02	]Ronald Williams has hit Tuki in the chest dealing 8 damage (CritChance was 0.20).
[21:48:02	]Tuki has taken 8 damage from Ronald Williams.
[21:48:02	]Ronald Williams has hit Tuki in the left arm dealing 4 damage (CritChance was 0.20).
[21:48:02	]Tuki has taken 4 damage from Ronald Williams.
[21:48:02	]Ronald Williams has hit Tuki in the chest dealing 8 damage (CritChance was 0.20).
[21:48:02	]Tuki has taken 8 damage from Ronald Williams.
[21:48:03	]Ronald Williams has hit Tuki in the stomach dealing 7 damage (CritChance was 0.26).
[21:48:03	]Tuki has taken 7 damage from Ronald Williams.
[21:48:03	]Ronald Williams has critically hit Tuki in the chest dealing 10 damage (CritChance was 0.20).
[21:48:03	]Tuki has taken 10 damage from Ronald Williams.
[21:48:03	]Ronald Williams has hit Tuki in the stomach dealing 7 damage (CritChance was 0.26).
[21:48:03	]Tuki has taken 7 damage from Ronald Williams.
[21:48:03	]Ronald Williams has critically hit Tuki in the chest dealing 10 damage (CritChance was 0.36).
[21:48:03	]Tuki has taken 10 damage from Ronald Williams.
[21:48:03	]Ronald Williams has critically hit Tuki in the left arm dealing 7 damage (CritChance was 0.36).
[21:48:03	]Tuki has taken 7 damage from Ronald Williams.
[21:48:03	]Ronald Williams has hit Tuki in the right arm dealing 4 damage (CritChance was 0.36).
[21:48:03	]Tuki has taken 4 damage from Ronald Williams.
[21:48:03	]Ronald Williams has hit Tuki in the head dealing 10 damage (CritChance was 0.12).
[21:48:03	]Tuki has taken 10 damage from Ronald Williams.
[21:48:03	]Ronald Williams has critically hit Tuki in the head dealing 12 damage (CritChance was 0.12).
[21:48:03	]Tuki has taken 12 damage from Ronald Williams.
[21:48:03	]Ronald Williams has hit Tuki in the chest dealing 8 damage (CritChance was 0.36).
[21:48:03	]Tuki has taken 8 damage from Ronald Williams.
[21:48:03	]Ronald Williams has critically hit Tuki in the stomach dealing 9 damage (CritChance was 0.48).
[21:48:03	]Tuki has taken 9 damage from Ronald Williams.
[21:48:03	]Ronald Williams has hit Tuki in the chest dealing 8 damage (CritChance was 0.36).
[21:48:03	]Tuki has taken 8 damage from Ronald Williams.
[21:48:03	]Ronald Williams has critically hit Tuki in the stomach dealing 9 damage (CritChance was 0.48).
[21:48:03	]Tuki has taken 9 damage from Ronald Williams.
[21:48:04	]Ronald Williams has critically hit Tuki in the chest dealing 10 damage (CritChance was 0.36).
[21:48:04	]Tuki has taken 10 damage from Ronald Williams.
[21:48:04	]Ronald Williams has hit Tuki in the chest dealing 8 damage (CritChance was 0.36).
[21:48:04	]Tuki has taken 8 damage from Ronald Williams.
[21:48:04	]Ronald Williams has hit Tuki in the head dealing 10 damage (CritChance was 0.12).
[21:48:04	]Tuki was knocked unconscious and is bleeding out.
[21:48:07	]Ronald Williams has gained a '5rnd Shotgun Magazine' #2690800.
[21:48:07	]Ronald Williams has lost a '5rnd Shotgun Magazine' #2690799.
[21:48:17	]Tuki ran 'drop' on item 'Buckshot Shotgun Shells' (#2690801)
[21:48:17	]Tuki has lost a 'Buckshot Shotgun Shells' #2690801.
[21:48:19	]Tuki has used a context menu option with the name: remove
[21:48:29	]Tuki has given himself a res_329pd.
[21:48:29	]Tuki has gained a 'Model 329PD' #2690804.
[21:48:34	]Ronald Williams ran 'EquipUn' on item 'MP-155' (#2690798)
[21:48:34	]Ronald Williams has gained a '5rnd Shotgun Magazine' #2690799.
[21:48:35	]Ronald Williams ran 'drop' on item 'MP-155' (#2690798)
[21:48:35	]Ronald Williams has lost a 'MP-155' #2690798.
[21:48:39	]Tuki ran 'Equip' on item 'Model 329PD' (#2690804)
