[13:40:07	]dfdsfsdfdsfdsf has used a context menu option with the name: skin
[13:40:08	]dfdsfsdfdsfdsf has used a context menu option with the name: skin
[13:40:10	]dfdsfsdfdsfdsf has used a context menu option with the name: skin
[13:40:14	]dfdsfsdfdsfdsf has used a context menu option with the name: remove
[13:40:15	]dfdsfsdfdsfdsf ran 'drop' on item '#87584's Identity Card' (#2051503)
[13:40:15	]dfdsfsdfdsfdsf has lost a '#87584's Identity Card' #2051503.
[13:40:45	]Astro (STEAM_0:1:86837969) has disconnected.
[19:24:14	]reece has connected.
[19:26:42	]reece loaded the character 'S10/OSL.SAVAGE-37'
[19:27:05	]S10/OSL.SAVAGE-37 ran SAM command 'hp' with arguments: 'savage' '100'
[19:27:07	]S10/OSL.SAVAGE-37 entered observer.
[19:27:21	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:30:34	]S10/OSL.SAVAGE-37 entered observer.
[19:30:47	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:30:47	]S10/OSL.SAVAGE-37 used the 'John Doe' vendor.
[19:31:07	]S10/OSL.SAVAGE-37 has spawned a uniform_charger.
[19:31:08	]S10/OSL.SAVAGE-37 has used a context menu option with the name: remove
[19:31:11	]S10/OSL.SAVAGE-37 has used a context menu option with the name: vendor_edit
[19:31:32	]S10/OSL.SAVAGE-37 has given himself a uniform_eow.
[19:31:32	]S10/OSL.SAVAGE-37 has gained a 'OTA Elite Uniform' #2051505.
[19:31:34	]S10/OSL.SAVAGE-37 ran 'drop' on item 'OTA Elite Uniform' (#2051505)
[19:31:34	]S10/OSL.SAVAGE-37 has lost a 'OTA Elite Uniform' #2051505.
[19:31:36	]S10/OSL.SAVAGE-37 has used a context menu option with the name: remove
[19:31:44	]S10/OSL.SAVAGE-37 has used a context menu option with the name: vendor_edit
[19:32:05	]S10/OSL.SAVAGE-37 has used a context menu option with the name: remove
[19:32:19	]S10/OSL.SAVAGE-37 has spawned a 'Entity [4788][ix_vendor]'.
[19:32:22	]S10/OSL.SAVAGE-37 has used a context menu option with the name: vendor_edit
[19:37:42	]S10/OSL.SAVAGE-37 has gone afk.
[19:38:12	]S10/OSL.SAVAGE-37 is no longer afk. Total time spent AFK: 325
