[03:17:50	]Guido Schwarz has used a context menu option with the name: persist
[03:17:56	]Guido Schwarz has spawned 'models/mosi/fallout4/props/fortifications/gravelwall.mdl'.
[03:17:59	]Guido Schwarz has enabled persistence for 'models/mosi/fallout4/props/fortifications/gravelwall.mdl'.
[03:17:59	]Guido Schwarz has used a context menu option with the name: persist
[03:18:03	]Guido Schwarz has spawned 'models/mosi/fallout4/props/fortifications/concretebarricade.mdl'.
[03:18:06	]Guido Schwarz has enabled persistence for 'models/mosi/fallout4/props/fortifications/concretebarricade.mdl'.
[03:18:06	]Guido Schwarz has used a context menu option with the name: persist
[03:18:40	]Guido Schwarz has used a context menu option with the name: door_lockunlock
[03:18:41	]Guido Schwarz has used a context menu option with the name: door_lockunlock
[03:18:57	]Beab Ghraszt exited observer at their location.
[03:18:58	]Beab Ghraszt entered observer.
[03:18:58	]Beab Ghraszt exited observer at their location.
[03:19:00	]Beab Ghraszt entered observer.
[03:19:30	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:30	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:31	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:31	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:32	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:32	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:33	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:33	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:34	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:34	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:35	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:35	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:35	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:36	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:36	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:37	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:37	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:38	]Guido Schwarz has fired a toolgun with the name: remover
[03:19:40	]Guido Schwarz used command '/ShowEdicts'.
[03:19:54	]Guido Schwarz has used a context menu option with the name: remove
[03:21:32	]Guido Schwarz has spawned 'models/props_industrial/warehouse_shelf001.mdl'.
[03:21:39	]Guido Schwarz has spawned 'models/props_wasteland/kitchen_shelf001a.mdl'.
[03:21:48	]Guido Schwarz has spawned 'models/props_industrial/warehouse_shelf004.mdl'.
[03:21:50	]Guido Schwarz has spawned 'models/props_industrial/warehouse_shelf003.mdl'.
[03:21:52	]Guido Schwarz has spawned 'models/props_industrial/warehouse_shelf002.mdl'.
[03:23:17	]Guido Schwarz has fired a toolgun with the name: remover
[03:23:26	]Guido Schwarz used command '/ShowEdicts'.
[03:24:27	]Guido Schwarz has fired a toolgun with the name: remover
[03:24:28	]Guido Schwarz has fired a toolgun with the name: remover
[03:24:28	]Guido Schwarz has fired a toolgun with the name: remover
[03:24:31	]Guido Schwarz used command '/ShowEdicts'.
[03:24:33	]Beab Ghraszt has gone afk.
[03:30:13	]Beab Ghraszt is no longer afk. Total time spent AFK: 635
[03:35:13	]Beab Ghraszt has gone afk.
[03:39:06	]Guido Schwarz has spawned 'models/lurondor/stall.mdl'.
[03:39:20	]Guido Schwarz has fired a toolgun with the name: stacker_improved
[03:39:20	]Guido Schwarz has spawned 'models/lurondor/stall.mdl'.
[03:39:27	]Guido Schwarz has fired a toolgun with the name: stacker_improved
[03:39:27	]Guido Schwarz has spawned 'models/lurondor/stall.mdl'.
